"addon"
{
    "shushan_suicide"           "自杀"
    "quest_shared_qingchushuihuan_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_qingchushuihuan_good_submited_bubble"        "感谢少侠，这下可以安宁了"
    "quest_shared_qingchushuihuan_bad"        "清除水患"
    "quest_shared_qingchushuihuan_bad_description"        "索要100金币，再击杀8只水妖。"
    "quest_shared_qingchushuihuan_bad_accepted_bubble"        "这是100金币，请击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_qingchushuihuan_none"        "清除水患"
    "quest_shared_qingchushuihuan_none_description"        "在渔夫处购买水网，在石河布网收服水妖。（放置水网引水妖入网）"
    "quest_shared_qingchushuihuan_none_accepted_bubble"        "<font color='#00F245'>{s:Item}</font>可以收服<font color='#EF1400'>{s:Unit}</font>，少侠可在渔夫那边购买<font color='#00F245'>{s:Item}</font>"
    "quest_shared_qingchushuihuan_none_submited_bubble"        "多谢少侠"
    "avalon_quests_submit_items_rewards"        "每提交 <font color='#00F245'>{d:Count}</font> 个 <font color='#00F245'>{s:ItemName}</font> 可以获得以下奖励:"
    "quest_shared_bushachongqun"        "捕杀虫群"
    "quest_shared_bushachongqun_description"        "东北方向有一处河谷，杂草丛生，近年蝗虫灾害不断，希望大侠去一探究竟。"
    "quest_shared_bushachongqun_good"        "捕杀虫群"
    "quest_shared_bushachongqun_good_description"        "东北方向有一处河谷，杂草丛生，近年蝗虫灾害不断，希望大侠去一探究竟。"
    "quest_shared_bushachongqun_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_bushachongqun_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_bushachongqun_bad"        "捕杀虫群"
    "quest_shared_bushachongqun_bad_description"        "东北方向有一处河谷，杂草丛生，近年蝗虫灾害不断，希望大侠去一探究竟。"
    "quest_shared_bushachongqun_bad_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_bushachongqun_bad_submited_bubble"        "感谢大侠相助"
    "quest_shared_bushachongqun_none"        "捕杀虫群"
    "quest_shared_bushachongqun_none_description"        "东北方向有一处河谷，杂草丛生，近年蝗虫灾害不断，希望大侠去一探究竟。"
    "quest_shared_bushachongqun_none_accepted_bubble"        "收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>"
    "quest_shared_bushachongqun_none_submited_bubble"        "好吧，谢谢你"
    "quest_shared_heguchuanshuo"        "河谷传说"
    "quest_shared_heguchuanshuo_description"        "传说数百年前河谷内有一邪道放蛊作乱，使村里民不聊生，日日稻谷家畜被蝗虫啃食，一飞剑大侠救民于水火之中，将邪道封印至天风石之中，近日谷中似有异动，可能与此有关，望大侠查明原因。"
    "quest_shared_heguchuanshuo_good"        "河谷传说"
    "quest_shared_heguchuanshuo_good_description"        "传说数百年前河谷内有一邪道放蛊作乱，使村里民不聊生，日日稻谷家畜被蝗虫啃食，一飞剑大侠救民于水火之中，将邪道封印至天风石之中，近日谷中似有异动，可能与此有关，望大侠查明原因。"
    "quest_shared_heguchuanshuo_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_heguchuanshuo_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_heguchuanshuo_bad"        "河谷传说"
    "quest_shared_heguchuanshuo_bad_description"        "传说数百年前河谷内有一邪道放蛊作乱，使村里民不聊生，日日稻谷家畜被蝗虫啃食，一飞剑大侠救民于水火之中，将邪道封印至天风石之中，近日谷中似有异动，可能与此有关，望大侠查明原因。"
    "quest_shared_heguchuanshuo_bad_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_heguchuanshuo_bad_submited_bubble"        "感谢大侠相助"
    "quest_shared_heguchuanshuo_none"        "河谷传说"
    "quest_shared_heguchuanshuo_none_description"        "传说数百年前河谷内有一邪道放蛊作乱，使村里民不聊生，日日稻谷家畜被蝗虫啃食，一飞剑大侠救民于水火之中，将邪道封印至天风石之中，近日谷中似有异动，可能与此有关，望大侠查明原因。"
    "quest_shared_heguchuanshuo_none_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_heguchuanshuo_none_submited_bubble"        "感谢大侠相助"
    "quest_shared_jiuhuobinglian"        "九火冰莲"
    "quest_shared_jiuhuobinglian_description"        "近日山上凶兽频有异动，扰得宫中上下人心惶惶，道友可否往山上采集一朵九火冰莲于我做成法阵，抵御这股凶煞之气。"
    "quest_shared_jiuhuobinglian_good"        "九火冰莲"
    "quest_shared_jiuhuobinglian_good_description"        "近日山上凶兽频有异动，扰得宫中上下人心惶惶，道友可否往山上采集一朵九火冰莲于我做成法阵，抵御这股凶煞之气。"
    "quest_shared_jiuhuobinglian_good_accepted_bubble"        "收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>"
    "quest_shared_jiuhuobinglian_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_bingyanzhenjun"        "冰焰真君"
    "quest_shared_bingyanzhenjun_description"        "两大魔君虽已铲除，但山中异象不止，望道友探其根源，助我铲除祸害。"
    "quest_shared_bingyanzhenjun_good"        "冰焰真君"
    "quest_shared_bingyanzhenjun_good_description"        "两大魔君虽已铲除，但山中异象不止，望道友探其根源，助我铲除祸害。"
    "quest_shared_bingyanzhenjun_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_bingyanzhenjun_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_bingdaomojun"        "冰道魔君"
    "quest_shared_bingdaomojun_description"        "三日前我前往山中探查异动，似有一人影伫立于雪山之上，寒气凛然，定是那冰道魔君在汲取雪山灵脉的极寒之气提升功力，似乎要有大动作，望道兄前往制止。"
    "quest_shared_bingdaomojun_good"        "冰道魔君"
    "quest_shared_bingdaomojun_good_description"        "三日前我前往山中探查异动，似有一人影伫立于雪山之上，寒气凛然，定是那冰道魔君在汲取雪山灵脉的极寒之气提升功力，似乎要有大动作，望道兄前往制止。"
    "quest_shared_bingdaomojun_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_bingdaomojun_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_yanliemojun"        "炎烈魔君"
    "quest_shared_yanliemojun_description"        "两日前我前往天地熔炉采集业火红莲，见一人盘坐在炎炉正中，四目紧闭，周身凶煞之气扑面而来，正是那炎烈魔君，近日的异动怕与其有关，往道兄协力铲除之。"
    "quest_shared_yanliemojun_good"        "炎烈魔君"
    "quest_shared_yanliemojun_good_description"        "两日前我前往天地熔炉采集业火红莲，见一人盘坐在炎炉正中，四目紧闭，周身凶煞之气扑面而来，正是那炎烈魔君，近日的异动怕与其有关，往道兄协力铲除之。"
    "quest_shared_yanliemojun_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_yanliemojun_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_nvwamijing"        "女娲秘境 - 其一"
    "quest_shared_nvwamijing_description"        "东南方有一处玄关，通向一处密境，传说是祭拜上古真神的庙宇，可无人能破除其入口的法术，近日我在一本典籍中寻到一道破法灵符，需几道天南地宝方可制成，望道兄助我寻之。"
    "quest_shared_nvwamijing_good"        "女娲秘境 - 其一"
    "quest_shared_nvwamijing_good_description"        "东南方有一处玄关，通向一处密境，传说是祭拜上古真神的庙宇，可无人能破除其入口的法术，近日我在一本典籍中寻到一道破法灵符，需几道天南地宝方可制成，望道兄助我寻之。"
    "quest_shared_nvwamijing_good_accepted_bubble"        "收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>，收集<font color='#FFAE35'>{d:arg2_max_count}</font>个<font color='#00F245'>{s:arg2}</font>，收集<font color='#FFAE35'>{d:arg3_max_count}</font>个<font color='#00F245'>{s:arg3}</font>"
    "quest_shared_nvwamijing_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_xueshanjiuyuan"        "雪山救援"
    "quest_shared_xueshanjiuyuan_description"        "在下夫人前几日在山中迷失，虽与我有术法联系，但似乎被困在了冰洞之中，无法脱身，望阁下助我救出夫人，在下感激不尽。"
    "quest_shared_xueshanjiuyuan_good"        "雪山救援"
    "quest_shared_xueshanjiuyuan_good_description"        "在下夫人前几日在山中迷失，虽与我有术法联系，但似乎被困在了冰洞之中，无法脱身，望阁下助我救出夫人，在下感激不尽。"
    "quest_shared_xueshanjiuyuan_good_accepted_bubble"        "望大侠尽快找到我的妻子"
    "quest_shared_xueshanjiuyuan_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_xueshanjiuyuan_good_subquest_bubble_1"        "嘿，妹子，我们走!"
    "quest_pomofu"        "破魔符"
    "quest_pomofu_description"        "巨兽牙饰可以在我这换取破魔符"
    "quest_pomofu_accepted_bubble"        "收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>"
    "quest_pomofu_submited_bubble"        "这是你的<font color='#00F245'>{s:arg1}</font>"
    "quest_shared_liudaoxiongshou_1_good"        "六道凶兽 - 其一"
    "quest_shared_liudaoxiongshou_1_good_description"        "天界降下六方凶兽制压四方气运，使吾辈不得成道。蜀山有一地常年狂风大作，必是风阵阵眼所在，望道友能协力破之，解开天界禁锢。"
    "quest_shared_liudaoxiongshou_1_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_liudaoxiongshou_1_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_liudaoxiongshou_2_good"        "六道凶兽 - 其二"
    "quest_shared_liudaoxiongshou_2_good_description"        "风阵已除，东面有一处极寒极炎之地，乃是冰炎栖息之地，望道友能协力破之。"
    "quest_shared_liudaoxiongshou_2_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>，<font color='#FFAE35'>{d:arg2_max_count}</font>个<font color='#EF1400'>{s:arg2}</font>"
    "quest_shared_liudaoxiongshou_2_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_liudaoxiongshou_3_good"        "六道凶兽 - 其三"
    "quest_shared_liudaoxiongshou_3_good_description"        "冰阵，炎阵已除，水土之阵吾难以寻得，望道友自行破之。"
    "quest_shared_liudaoxiongshou_3_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>，<font color='#FFAE35'>{d:arg2_max_count}</font>个<font color='#EF1400'>{s:arg2}</font>"
    "quest_shared_liudaoxiongshou_3_good_submited_bubble"        "感谢大侠相助"
    "quest_shared_liudaoxiongshou_4_good"        "六道凶兽 - 其四"
    "quest_shared_liudaoxiongshou_4_good_description"        "妙哉！后山之处藏有最后一片禁制，凶煞无比，望道友能助吾辈一臂之力。"
    "quest_shared_liudaoxiongshou_4_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_liudaoxiongshou_4_good_submited_bubble"        "感谢大侠相助"
    "quest_liudaoyuanhun"        "六道冤魂"
    "quest_liudaoyuanhun_description"        "给我搜集冤魂，我便给你一颗通灵丹。"
    "quest_liudaoyuanhun_accepted_bubble"        "收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>，<font color='#FFAE35'>{d:arg2_max_count}</font>个<font color='#00F245'>{s:arg2}</font>"
    "quest_liudaoyuanhun_submited_bubble"        "感谢大侠相助"
    "quest_shared_bimozhiyan_good"        "笔墨纸砚"
    "quest_shared_bimozhiyan_good_description"        "为我搜集以下几件道具，我便给你地府密藏的钥匙。"
    "quest_shared_bimozhiyan_good_accepted_bubble"        "将这几件道具交给我，必然给你宝藏密匙"
    "quest_shared_bimozhiyan_good_submited_bubble"        "极好极好"
    "quest_shared_tianxingjian_good"        "天行健"
    "quest_shared_tianxingjian_good_description"        "为我搜集以下几件道具，我便给你天庭密藏的钥匙。"
    "quest_shared_tianxingjian_good_accepted_bubble"        "将这几件道具交给我，必然给你宝藏密匙"
    "quest_shared_tianxingjian_good_submited_bubble"        "极好极好"
    "quest_shared_juexing"        "觉醒"
    "quest_shared_juexing_description"        "为我搜集真武大帝的法印，我可觉醒你自身的潜能。"
    "quest_shared_juexing_accepted_bubble"        "将这几件道具交给我，必然可以将你激发潜能"
    "quest_shared_juexing_submited_bubble"        "我已为你激发潜能，举手之劳，不必多谢"
    "quest_guide_0001"        "引导任务-其一"
    "quest_guide_0001_description"        "少年我看你骨骼清奇，旁边的客栈老板似乎有烦恼，不妨和他对话一下？"
    "quest_guide_0001_accepted_bubble"        "少年我看你骨骼清奇，旁边的客栈老板似乎有烦恼，不妨和他对话一下？"
    "quest_guide_0001_submited_bubble"        "不错，少年你很有潜力"
    "quest_guide_0002"        "引导任务-其二"
    "quest_guide_0002_description"        "富庶村的妇人似乎有烦恼，不妨问问她有什么要帮忙的。"
    "quest_guide_0002_accepted_bubble"        "富庶村的妇人似乎有烦恼，不妨问问她有什么要帮忙的。"
    "quest_guide_0002_submited_bubble"        "不错，少年你很有潜力"
    "quest_guide_0003"        "引导任务-其三"
    "quest_guide_0003_description"        "少侠现在实力不够，尝试完成捕鱼和搜集木材达到15级再来找我吧。"
    "quest_guide_0003_accepted_bubble"        "尝试完成捕鱼和搜集木材达到15级再来找我吧"
    "quest_guide_0003_submited_bubble"        "不错，少年你很有潜力"
    "quest_shared_shengling_1"        "圣灵融合 - 其一"
    "quest_shared_shengling_1_description"        "给我圣灵套和15个天穹石，我可助你成就神器。"
    "quest_shared_shengling_1_accepted_bubble"        "给我圣灵套和15个天穹石，我可助你成就神器。"
    "quest_shared_shengling_1_submited_bubble"        "哎呀不小心手滑了，抱歉。这是击碎的材料，蜀山有一神秘人或许有修复的法门。"
    "quest_shared_shengling_2"        "圣灵融合 - 其二"
    "quest_shared_shengling_2_description"        "我已算到此劫，可将灵石碎片予我。"
    "quest_shared_shengling_2_accepted_bubble"        "我已算到此劫，可将灵石碎片予我。"
    "quest_shared_shengling_2_submited_bubble"        "待我看看"
    "quest_shared_shengling_3"        "圣灵融合 - 其三"
    "quest_shared_shengling_3_description"        "并非无修复之法，给我3个融合石，我可圣灵石融合到装备之上"
    "quest_shared_shengling_3_accepted_bubble"        "并非无修复之法，给我3个融合石，我可圣灵石融合到装备之上"
    "quest_shared_shengling_3_submited_bubble"        "我已将其融合，但凡器未必能配上此石"

    "quest_shared_xuanbingmohun_good"        "玄冰魔魂"
    "quest_shared_xuanbingmohun_good_description"        "雪山右上有一密洞，似乎有不祥之物。"
    "quest_shared_xuanbingmohun_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_xuanbingmohun_good_submited_bubble"        "感谢大侠相助"

    "quest_shared_jinghua_good"        "净化"
    "quest_shared_jinghua_good_description"        "极乐净土东方有一邪佛，日日吸食我巫族地脉，兄弟能否帮我除其祸害？"
    "quest_shared_jinghua_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_jinghua_good_submited_bubble"        "感谢大侠相助"

    "quest_shared_ruchan_good"        "入阐"
    "quest_shared_ruchan_good_description"        "给我巫族防具，我可用邪佛之力予其升级。"
    "quest_shared_ruchan_good_accepted_bubble"        "给我巫族防具，我可用邪佛之力予其升级。"
    "quest_shared_ruchan_good_submited_bubble"        "拿好，少侠"

    "quest_shared_rudao_good"        "入道"
    "quest_shared_rudao_good_description"        "给我巫族防具，我可用邪佛之力予其升级。"
    "quest_shared_rudao_good_accepted_bubble"        "给我巫族防具，我可用邪佛之力予其升级。"
    "quest_shared_rudao_good_submited_bubble"        "拿好，少侠"

    "quest_shared_kaiyi_good"        "开翼"
    "quest_shared_kaiyi_good_description"        "给我山风怪的羽翼，我可为你开翼。"
    "quest_shared_kaiyi_good_accepted_bubble"        "给我山风怪的羽翼，我可为你开翼。"
    "quest_shared_kaiyi_good_submited_bubble"        "拿好，少侠"

    "quest_shared_cuilianzhenwutaiji_good"        "淬炼真武太极套装"
    "quest_shared_cuilianzhenwutaiji_good_description"        "我可为你淬炼真武太极套装。"
    "quest_shared_cuilianzhenwutaiji_good_accepted_bubble"        "我可为你淬炼真武太极套装。"
    "quest_shared_cuilianzhenwutaiji_good_submited_bubble"        "拿好，少侠"
}
